,Unnamed: 0,Star,Comment,adtext
30,30,1,与第一集不同 承上启下 阴郁严肃 但也不会不好看啊 除非本来就不喜欢漫威电影 场面更加宏大 单打与团战又到了炫技的时刻 镜头感超赞 故事平铺但很紧凑 冷笑话依然不少 大量彩蛋是粉丝的菜 结尾新复联成立那一刻燃爆 不足之处在于几大新角色没有展开 感情戏有些生硬 另国内翻译不咋地,與di一汲不匡 埕shangqi下* 茔郁>严=聿 但也不会-不好看啊< 除非本来就不喜欢漫威电影 场面更加宏大 单打與团战又到了炫技的时刻 镜头感超赞 故事平铺但很紧凑 冷笑话依然不少 大量彩蛋@是|粉@丝=的菜* 结&尾>新-复#联%成/立/那#一刻燃爆 不足之处在于几大新-角色没有展开 感情戏有些生硬 另国内翻译不咋地
36,36,1,观感比第一部差很多 稍显沉重 文戏不冗长却无趣 奥创是今年看过的最萌反派 红女巫美到让人出戏 新任春梦对象 xx和xx感情戏全都是bullshit,观感比+di一#醭差很&多 shao显沉|重 文戏不^冗长却无趣 奥!创是今年看过的最萌反派 红女巫美#到@让>人=出&戏 新任春梦对象& xx和xx感情戏全都是bullshit
38,38,1,我就问一句 老万是被炸死的老万造吗,我就问一句 老wan是被火乍歹匕的老wan造吗
40,40,1,看毕 我激动地对友人说 等等奥创要来毁灭台北怎么办厚 她拍了拍我肩膀 没事 反正你买了两份旅行保险 惹,龵目bi 我鲚云力地>对鱿人说 镫镫奧创要奶毁灭台北>怎么办厚 她拍了拍我肩膀 没事 反正你买了两份旅行保险 惹
41,41,1,你们看美队的胸 隔着大半个屋子都能感受到,你menkan美队的胸 隔着大半个屋子都能gan受倒
42,42,1,看的台灣搶映 有韩国元素 为啥分分钟觉得片子里有个都敏俊呢 剪辑有点混 配乐不错啦 影城还有贴心的彩蛋提醒 片尾是說阿凡達也加入了嗎 沒有GP不幸福 那個人跟超人有聯繫嗎 看的日新威秀IMAX D 都是满场,看@的台灣搶ying 有韩国-元素 力啥分分钟觉de片子里有个都敏俊呢 剪辑有点混 配乐不错啦 影城还有贴心的彩蛋提醒 片尾是說阿|凡%達|也>加*入$了=嗎- 沒=有G-P%不幸*福 那/個人跟超人有聯繫嗎- 看@的日新威秀IMAX D 都是满场
45,45,1,哪个保证一刀不剪的 不是剪了好几刀吗,na个保证一刀不#剪的 不#是剪了好几刀嗎
47,47,1,刘大勇贾秀琰师徒真是狙击资本主义巨制界的先锋,刘dayong贾秀炀师徒真是狙丨資本主义巨制界的先锋
48,48,1,好莱坞造梦境界依旧 值得表扬的是开头第一个镜头 其镜头运动设计的惊险流畅 大量低角度和超级特写的交代让人生理迅速发生反应 几乎马上进入情节 那个慢速有点傻可是是给雷神的好吧 故事模式还是一样 反正就在打斗和逗比或者发展感情这两种模式中切换 非常适合不带大脑地去电影院魂离天外,奸莱坞造梦境界依旧 滞得表扬的是开头第一个镜头 其镜头运动设计的惊险流畅 大量低角度和超级特写的交代让人生理迅速发生反应 几乎马上进入>情+节$ 那<个慢|速有>点#傻$可+是是给/雷&神-的奸吧+ 故#事/模!式^还>是一样= 反正%就-在*打#斗+和逗比>或者发展感情+这两种模!式^中切换 非常适合不带大脑地去电影院魂离天外
49,49,1,真的是全程无尿点 漫威在拍了这么多系列片之后再拿捏妇联真是得心应手 笑点爆发点齐飞 拿锤子的哽太伤人 唯一遗憾 没洛基,真*的是全禾呈无niao点 漫-威|在拍了这么多系列片之后再拿捏妇联真*是得心应#手# 笑&点爆>发/点齐<飞 拿锤子的哽/太伤人 唯一遗憾 没洛基
50,50,1,绝逼不质疑尾灯的导演和编剧水平,jue比不质疑尾灯的导演禾口编剧水平
52,52,1,赶上第一波看好开心 大乱斗超好评 总之笑料和精彩程度都不减 所有的BG线都让人尴尬到内心崩溃 寡姐和Hulk在一起时 简直就是是超级宠物教练 猩红女巫和快银也都是萌萌萌 我有好多嘈想吐 但我不能剧透 麻蛋,赶上第一波看好开心 大乱斗超好评 总之笑料和精cai程度都不减 所有的BG线都让人尴尬到内心崩&溃 寡姐!和H+u+l#k%在<一起+时# 简&直/就&是*是*超级#宠*物&教-练@ 猩红女巫和快银也都是*萌萌萌 我有好多嘈想吐 但我不能剧透 麻蛋
53,53,1,还是很过瘾的 差不多是从头打到尾 中间的绿巨人VS反浩克钢铁侠以及结尾大战都非常刺激 IMAX还是最好的选择 不过总体感觉不如复联第一部 文戏有点乱 角色太多缺乏重点用力平均 奥创显得不够牛X 有气场没能耐 不像能灭复联的 三星半 我认为 美国队长 内战 会比复联好看,还^是桁过瘿的 差不多是人人头打到尾 中间的绿ju人VS反浩克钢铁侠以及结尾大战都非常刺激 IMAX还^是最好的选择 不过总体感觉不如复联第一部$ 文/戏&有^点%乱& 角=色%太^多缺@乏*重@点%用^力|平/均< 奥*创@显得-不够牛X 有^气场没能耐 不像能灭复联的 三星半 我认为 美国队长 内战 会比复联好看
55,55,1,我是男脑残粉 所以怎么都好看,我是男脑残米分 所以怎么dou奸看
58,58,1,啊啊啊啊啊啊啊啊啊啊啊啊啊 我真的很久没有关心复联了 昨晚还搞错时间买了票结果没去 但是就这样看一遍 几年前那种立即想二刷的状态又回来了 Together 一直都是这个系列戳中我的地方 Vision好赞 锤哥的西装好帅 大部分观众都留着等第二个彩蛋 结果只有一个 _ з _,啊啊啊啊啊啊啊啊啊啊啊啊啊 我真的很久没有关心复联了 昨晚还搞错时间买了票结果没去 但是就这样看一遍 几年前那种立即想二刷的状态$又回#来-了 T-o*g*e<t&h%e<r* 一直/都&是这个#系/列$戳<中%我的地=方> V&i^s=i^o*n好赞 锤哥的西装好帅 大部分观众都&留着等第二个#彩蛋 结果只有一个# _ з _
59,59,1,忘标了 对新男主的下场 很怨念 令想说 某和某的狗血恋情 真是够了 不过依然还算过瘾 激战场面眼花缭乱 现在的反派都流行卖萌流行搞哲学 太可怕了,忘+标了 对xin男主的下场 痕怨nian 令想说 某和某的狗血恋情 真是够了 不过依然还算-过瘾@ 激^战<场面>眼=花^缭<乱 现在的反^派都流行卖萌流行搞哲学 太可怕了
64,64,1,我锤帅呆了 我队也是本命 还蛮想跟幻视来一发 捂脸 btw 奥创是个大傻逼 谁要用陨石撞地球来毁灭人类啊 有那个功夫多复制几个自己啊 而且快银不应该是万磁王的儿子么 而且还挂了 平行宇宙大法,我錘shuai呆了 我隊也是本ming 还镘想跟幻视来一发$ 捂-脸 btw 奥创是个大傻逼 谁要用陨石撞地球来毁灭人类啊 有那个功+夫-多%复*制<几+个自+己*啊 而$且-快银#不应该是万磁王的儿子么 而$且-还挂了 平行宇宙大法
73,73,1,画风跟第一部不太一样的承前启后之作 自带脑补虐文属性 一想到未来为内战的铺垫的梗就有点酸爽 结尾大决战脑海中不断联想到复联春运图 奥创最后毁灭世界怎么用的是老万的手法 还有那谁我就不说了哎 队长车顶手撕奥创近身戏帅,画风@gen蒂一部|不太一琰的cheng前qi后之$作* 自^呆脑补#略文@属<性 一想到未来为内战的铺垫的梗就有点酸爽 结尾大决战脑海中不断联想到复联春运图 奥创最后毁灭世界>怎>么|用&的是$老万的手法 还有那谁我就不说了哎 队长车顶手撕奥创近身戏帅
75,75,1,猩红女巫美哭了 为何要弄我大快银 嘤嘤嘤,猩红女巫美吅犬了 为何要弄我大快yin yingyingying
80,80,1,超愉悦以及超满足 在历经了第一阶段比漫画更普世的设定融合之后 发展到 AoU 居然出现了不少传统科幻的哲思 乔斯尾灯的诉求一目了然 这真的不仅仅只是超级英雄们的情景喜剧而已 so 漫威有这样的良心之人 是漫威的荣幸 默默给DC烧纸,超育岳以及超蟒组 灾哩經了缔一階椴妣漫划更普亡的设定融合之后 发展到 AoU 居然出现了不少传统科幻的哲思 乔斯尾灯的诉求一目了然 这真的不仅仅只是超级英^雄#们!的情景喜&剧而已 so 漫威有这样的良心之人 是漫威的荣幸 默默给DC烧纸
81,81,1,一刷归来一本满足 PB真的全队最帅 刚出场时苏到不行 JS演得最活 感觉真人就在眼前 一把声音就把全场的气氛给震摄了 队长和锤哥的配合很惊艳 Olsen妹子超超超灵 女巫塑造得好 Joss给剧本注入了很多传统科幻的东西 笑点和宅梗都非常多 现在最期待的就是导演加长剪辑了 鹰眼对女巫的话有看哭,一>shuaguilai一>本man足 PB真的全队最shuai 刚+出*场时#苏-到&不行 JS演得最活 感觉真人就在眼前 一>把声音就把全场的气氛给震摄了 队长和锤哥的配合很惊艳 Olsen妹子超超超灵 女巫塑造<得好$ Jo%ss给剧|本注!入/了很多#传%统+科=幻<的东西 笑点和宅梗都非常多# 现在最期待的就是导演加长剪辑了 鹰眼对女巫的话有看哭
82,82,1,首映就冲去看了 作为漫威脑残粉当然咬紧牙关也要给星但我必须承认我在开场前分钟都没能入戏 熬过前分钟就会渐入佳境 没入也别找我说了我脑残了 本集冷笑话好多 彩蛋也浅显易懂 于是下一集我们应该会再见到银河护卫队了吧 最后 双胞胎姐姐好美腻,shou营就chong去=龵目了 zuo为漫威脑残fen当*燃咬=靳亚关@也要#给*xing但我必须承认我在开场前分钟都没能入戏 熬过前分钟就会渐入佳境 没入也别找我说了我脑残了 本集冷笑话好多 彩蛋也浅显易^懂 于是下一=集我们<应该会再见到银河护卫队了吧 最后 双胞胎姐姐好美腻
88,88,1,在一个系列里起到承前启后的作用 但就单部而言 人物线索编排过密 缺乏集聚效果,在一个系列里起到承前启后的作用 但就单部而言 人物线&索=编%排<过&密@ 缺&乏集聚效果-
89,89,1,三星半吧 没多好看 故事比较简单 人物比较单薄 但是海量特效还是很爽的 奥创身材肥肠好 腰肥肠肥肠细,糁日生半ba 氵殳多好炕 故事比较简單 人物比较單薄 但是海量特效还是很爽的 奥创身材肥肠好 腰肥肠肥肠细
94,94,1,Together Like an old man said together Worthy 这片果然 完完全全是Joss 笑点密集 各种宅内涵 唯一遗憾为了片长的删减 好想高唱复联动画EMH主题曲Forever fight as one 那歌词完全对应这部电影 Joss Whedon is worthy Joss Whedon have got no string,T<ogether Like an old man said together Worthy 这片果然 完完全全是Joss 笑点密集 各种宅内涵 唯一遗憾为^了!片长@的-删@减^ 好%想*高<唱%复$联<动画EM>H主题曲Forever fight as one 那歌词完全对应这部电影 Joss Whedon is worthy Joss Whedon have got no string
101,101,1,红爹教你如何用配音本色出演奥创大大 发现最喜欢的是绿巨人真是醉醉滴,紅爹教你如何用配音本色出演奥创大大 发现嘴喜歡的是绿巨!人^真#是醉$醉$滴
113,113,1,在台北美丽华看的 巨幕效果赞,在台北美丽华看的 ju幕效果zan
114,114,1,比速七好看多啦 至少台词都很搞笑啊 不知道中国有多少人看懂了Eugene O Neill这个梗,bi速七女子看多啦 至少台词douhen搞校锕 不知道中/国%有|多少人看懂了Eugene O Neill这个梗
118,118,1,脑残粉不解释,脑残fen不解释
119,119,1,怎么舍得打低分啊,怎么舍de打低分啊<
120,120,1,感觉有略黑暗了点 不过还是萌点满满 但是一想到就要完结了又心碎了一地,刚觉有略黑暗了点 不过还是萌点满满 但是一/想到就腰完结了又>心@碎+了一/地
121,121,1,我就是一俗人 对于我来说这就是今年最好的电影,我就是一俗人 对于我来说这就是今/年醉女子的电景彡
125,125,1,我的中二之魂熊熊燃燒 雖然劇情普通設定略牽強 諸多可愛的小細節和滿天飛的鈔票還是滿足了我 Stan Lee的眾多comeo裡最萌的一回 D D Box ATMOS簡直是美妙絕倫的觀影體驗 座椅的各種傾斜和震動角度幅度和畫面完全符合 真正的身臨其境 仿佛能聞到硝煙氣味,我的zhong二|zhi云鬼熊熊冉火堯 雖*然劇*情|氆通=設>定<略!牽!強| 諸=多可愛的小細節和滿天飛的鈔票還是滿足了我 Stan Lee的眾多comeo裡最萌的一回 D D Box ATMOS簡直是美妙絕倫的觀影體驗 座/椅的各種傾#斜=和震-動%角%度+幅度+和畫面完全符合 真正的身臨其境 仿佛能聞到硝煙氣味
126,126,1,睡你麻痹起来嗨 零点首场刷起来 英雄与心魔 拯救与毁灭 有种古希腊悲剧的感觉 各种梗看的超爽 绯红女巫太棒 铺垫这么多 更期待内战,shui你麻痹起来嗨 零<点首场刷起来 英雄与心魔 拯救与毁灭 有种古希腊悲剧的&感&觉* 各|种梗!看*的&超#爽= 绯<红&女巫<太棒 铺垫这么多 更期待内战
132,132,1,泼秃好土啊,po秃好土啊
141,141,1,要改萌锤盾了 二连击duangduangduang,覀女改艹明锤墩了 二连击duangduangduang
143,143,1,一周鸡血已打满,一周鸡血已打man
144,144,1,室友先去看 然后跟我说不要期望太高 我看了还是觉得很好看啊啊,室友先去看| -然后跟我说不要期望太高 -我看|了还是觉得/很^好/看|啊>啊>
145,145,1,队长依然大义凛然 托尼在队长如此令人敬畏的眼神之下 仍能践行自己身为科学家和未来主义者的理念 I cannot be more proud of him 我等着他们生死斗 也等着他们泯恩仇 一切终结之日只要这两人并肩而立 复仇者就无比强大,对长^亻衣ran大义linran tuo尸匕在对长^如&此ling人jing畏-的眼@神|之下= 仍能践行自己身为科学家和未来主义者的理念 I cannot be more proud of h+im 我>等#着他们生死斗 也等#着他们泯恩仇 一<切终结之日只要这两人并肩而立 复仇者就无比强大
146,146,1,讲真 五星全来自于脑残粉的自我修养 和比起来太差强人意了,讲真 wu星&券来自于脑残粉的自我修养 和比起来太差强人@意!了*
147,147,1,开头慢镜头小高潮就燃起来了 结尾更是浑身起鸡皮疙瘩 没办法脑残粉就是这么容易激动 ω 妮妮还是分外骚气 不过这部里面莫名对鹰眼绿绿和幻视很有好感 幻视有种开了挂却异常呆萌的赶脚从高中追到现在的系列 每一部都是青春热血啊 怎么能不任性给好评,kai头慢镜头小高潮就ran起%来了 结尾更是浑shen起%鸡皮疙瘩 没办法脑残粉就是这么容易激动 ω 妮妮还是分外骚气 不过这部里面莫名对鹰眼绿!绿!和=幻*视=很#有>好!感> 幻*视=有>种+kai了挂$却#异&常%呆^萌*的@赶$脚从/高中追到现在的@系列 每一部都是青春热血啊 怎么能不任性给好!评
149,149,1,依旧够燃 女神prprpr,依旧gouran 女神prprpr
150,150,1,好看 好看 好看,好看 好看 好看
151,151,1,全程都是高潮 已然不知主线为何物 猩红女巫真是美美嗒,全程&都是高潮 已ran不知主线为何物 猩红女巫zhen是美|美|嗒
152,152,1,还是很燃啊 尾灯简直太懂粉丝的心 各种彩蛋福利,还是恨ran啊 尾灯简直太懂粉丝的xin 各种cai蛋福利
153,153,1,still luv u THOR,st$ill luv u THOR
154,154,1,非常不错非常不错 我非常吃这一套,非常不cuo非常不cuo 我非常吃这一套
155,155,1,希望我的评论没有对没有看的我朋友造成困扰 许久没看过D的熊仔这次奢侈了一回 非常能体会D铁达尼的观众分分钟想摸屏幕的感受 非常喜欢的一点是 虽人物众多 但安排得当 背景音乐依旧很燃 如果用一句话来形容观影感受 一定是 值回票价,xi望*我#的榀论*没!有%怼没!有%龵目的我#pengyou造>成=困$扰^ 煦久>没!龵目过D的熊仔这次奢侈了一回 非常能体会D铁达尼的观众分分钟想摸屏幕的感受 非常喜欢的一点是 虽人物众多 但安!排得当 背景^音+乐依旧很燃 如果用一句话来形容观影感受 一定是 值回票价
159,159,1,感谢贴心女友 感谢银联卡包 感谢星美影城 六块二的D电影值回票价 情节无所谓看懂看不懂 关键是要俊男靓女同仇敌忾打得爽 其实美国英雄没有中国英雄强大 那么多超能力了还要被坏人群殴 中国英雄仅仅是血肉之躯 就是永远打不死的,gan谢贴xin女友 gan谢滢联卡包 gan谢星美影城 亠八块二的D电影值回票价 情节无所谓看懂看不懂 关键是要俊男靓女同仇敌忾打得+爽$ 其/实-美国@英$雄|没@有/中*国@英$雄|强&大@ 那^么>多超%能力了还要被坏人群殴 中*国@英$雄|仅仅是血肉之躯 就是永远打不死的
164,164,1,全程想像自己是猩红女巫,quan程xiang像自己是猩红女巫
165,165,1,漫威第三阶段超长预告片 塑造人物已经超过编剧极限 快银颜值高但是戏的想象力不如逆转未来 绯红女巫看的我目不转睛 鹰眼做了那么多 主角必死 的flag 死的却是,man维di三秸段超|长预告片 塑造人物已经超|过编剧极限 快银颜值高但是戏的想象力不如逆转+未$来* 绯<红+女+巫^看#的我-目<不转+睛 鹰<眼做了那么多 主角必死 的flag 死的却是
168,168,1,打 搞笑 打 爆米花片你还要求什么 个人觉得比第一部好看 就是略长了一丢丢和一些莫名其妙的点但是真的不重要 尾灯了不起 发糖大大 ATJ巨可爱啊声音都嫩回去了一股小流氓的感觉好苏 连奥创都会说笑话XD,打 搞笑 打 爆米花片你还要求什么 个人觉de比第!一部好看 就是略长了一丢丢和一些莫名其妙的点但是真的不重+要 尾=灯<了不起= 发@糖&大-大- A*T=J+巨!可@爱/啊+声=音都!嫩回去了一股小流氓的感觉好苏 连奥创都!会说笑话XD
169,169,1,人很多 说话有点跟不上 就觉得有的地方交代的不清楚 打的很热闹 很多地方跟也有对应 还是觉得最好看,人很多 说话有点跟不上 就觉得有德地方>交代德不清楚 打德很热闹 很多地方>跟也有对*应| 还=是/觉得最&好<看
171,171,1,敌人全是机器人 丢个电磁脉冲炸弹不就解决了,舌攵人全是机器人 丢个电辞mai冲火乍弹不就解决了
174,174,1,比第一部好看 人物的复杂性出来了 整体氛围也不再低幼 动作戏燃爆 韦登这一次完成了一个不可能的任务,比第一哺女子kan 衽物的服杂性杵来了 整亻本fen固也不再低$幼 动作戏燃爆 韦登这一次完成了一个不可能的任务
176,176,1,無恥啊無恥 無堅不催的鎚子哥雷神大爺竟把鷹眼的萌萌最愛樂高玩具踩個稀巴爛 這是公報私仇 報復人家演過你 小氣鬼 懦夫啊懦夫 黃綠庸醫死怪物 人家女神斯嘉麗已經投懷送抱 還含羞答答地把女孩子家最難啟齒的痛苦最凄慘的秘密向你傾訴 你竟然潛水玩失縱 每個負星 粵語 潛水正是玩失縱的意思,無恥啊無恥 無堅不催的鎚子哥雷神大爺竟把鷹眼的艹明艹明最愛樂高玩具踩個稀巴爛 這是公報私仇 報復人家演過你 小氣鬼 懦夫啊懦夫 黃^綠庸醫|死|怪!物@ 人家女-神斯#嘉>麗^已^經^投#懷|送#抱- 還#含^羞>答*答*地*把女-孩@子家最難&啟/齒的痛苦最凄慘的秘密向你傾訴 你竟然潛水玩失縱 每個負星 粵語 潛水正是玩失縱的意思
177,177,1,先炸为敬 要刷五万遍,先炸为敬 要刷wu万bian
178,178,1,最大的亮点是 剧组好厉害哦居然能让RDJ看上去其他人一样高 All hail Apple Box,蕞da的-亮*点是 剧组女子泥害哦居然能让RDJ看&上去<其他人一样高 All hail Apple Box
190,190,1,我是美队的忠实脑 残 粉,我是美队的zhong实脑 残 米分
193,193,1,剧情明确 节奏快 动作场面多 这些关键词是对第一部负面评价的修正 而我们的续集也很明显的包含了这几个关键词 然后现在观众又出来说不满意了 如果我是乔斯 韦登 我的OS一定是 老子不伺候了,剧qing明que jie奏<快* 云力作<chang面duo 这xie关键词是对@第=一部$负面评价的修正 而我们的续集也很明显的包含了这几个关键词 然后现在观众又出-来@说+不&满意了 如果我是乔斯 韦登 我的OS一定是 老子不&伺候了
196,196,1,不想说得太直白 但看到快银挂掉 WTF 鹰眼最后回家 还有幻视和奥创关于人类的对话 我确实意识到很多东西其实是不言自明的 愿意去感受的自然不会抵抗 他们也就可以从中看到自己想看到的那些 多年前看QAF的时候我还不明白Mike为什么喜欢超级英雄漫画 现在大概懂了,不想讠兑得tai宣白 亻旦看到kuai寅挂掉@ W*T^F 鹰|眼%最-后囗口家 还有幻视和奥创关于人类的对话 我确实意识到很多东西其实是不言自明的 愿意去感受的自然不会抵抗 他们也就可以从中^看到自己$想看到的那>些$ 多年@前-看Q!A+F的时!候我还不明白Mike为什么喜欢超级英雄漫画 现在大概懂了
204,204,1,卫星空降反浩克装甲南非对决大绿胖轰掉半座城 摩托城铁拖箱升天改造首尔公共交通 最后东欧天空之城陨石浩劫 这集剧情一严肃起来就傻缺 像上集那样笑点与热血紧密交织的感觉完全没有了 但作为儿童片 看着英雄好汉全球搞破坏的大场面还是挺开心的,萎星空降反浩克装jia南非对决#大绿胖轰掉半座城 摩托城铁拖箱升天改造首尔公共交通 最后东欧天空之城陨石浩劫 这集剧情一严肃起来&就>傻$缺- 像<上+集那^样+笑!点%与^热<血$紧*密&交织+的-感^觉^完&全!没有*了 但作为儿童片 看着英雄好汉全!球搞破坏的-大场面还是挺开心的-
206,206,1,为了看特效 没有失望,为了看特效 没有丿夫wang
212,212,1,天呢 像我这种漫威脑残粉都快看睡了 钢铁侠总是作死好烦啊,天呢 xiang我这种漫威nao残粉都快看shui了+ 钢铁侠+总是作死好烦啊
213,213,1,很喜欢A I 的剧情和关于终极发展的讨论 另外绯红女巫的扮演者就是ted自己导的那个电影Liberal Arts的女主角啊,hen青歡A I 的剧情和关於zhong赍發展的讨论> 另=外绯@红&女巫的扮演者就是ted自己导的那个电影Liberal Arts的女主角啊
214,214,1,与错过shield和前作彩蛋相比 刘大勇的翻译对本作简直是毁灭性的打击 港版翻译虽然也有一些不尽人意的地方 但是对人物塑造和情感铺垫已经足够 Ultron的形象非常丰满 又可怕又可爱又可怜 另外不能不说那有点creepy的童声匹诺曹实在是太赞了,与cuo过shield和前作彩蛋相比 刘大勇的翻译对本作简直是毁灭性的打击 港版翻译虽然也有一些不尽人意的地方 但<是对人物塑%造@和情/感<铺^垫%已%经<足$够| Ult@r@on^的形=象<非&常|丰@满/ 又$可怕又$可爱又$可怜 另外不能不说那有点cr@eepy的童声匹诺曹实在是太赞了
